,account_id,win_rate,match_id,rank,average_kda,average_kills,average_deaths,average_assists,average_cs,average_denies,average_networth,average_gold_per_minute,average_exp_per_minute,average_tower_damage,average_hero_damage,average_hero_healing,average_camps_stacked,average_individual_match_performance,average_vision_participation,recent_win_rate,recent_times_left,curr_team_wl_rate
23,257502243.0,0.5382580767050822,7792947911,71,7.107004404092638,9.34,16.14,35.4,144.18,7.38,3772.76,724.52,1028.44,1656.06,32024.52,1396.12,2.54,6.24,24.0,0.44,0.04,0.4482758620689655
24,155589910.0,0.5238235727983478,7792947911,72,6.21532636661584,14.42,18.1,24.38,318.12,17.22,3318.62,929.38,1247.94,6120.54,45855.08,2671.98,3.78,-16.08,2.12,0.44,0.04,0.3448275862068966
25,146375836.0,0.5070339976553341,7792945115,73,11.420848595848595,20.14,11.66,23.04,615.16,29.02,5063.78,1307.34,1637.62,11264.98,60500.36,257.94,3.74,14.139999999999997,4.52,0.56,0.02,0.625
26,102112812.0,0.5340401785714286,7792945115,72,5.168253015989858,9.64,11.44,21.62,210.12,5.82,3040.92,589.88,836.16,3077.0,34787.96,1771.86,3.02,-3.82,16.14,0.44,0.06,0.4482758620689655
27,120401822.0,0.5360252365930599,7792945115,80,8.288352924852923,17.1,16.12,29.86,548.44,22.64,4396.72,1160.0200000000002,1469.3,11337.44,64218.1,2392.56,0.72,-13.52,0.94,0.56,0.02,0.5625
28,79320260.0,0.5093057128985272,7792945115,71,7.998860417360418,10.94,17.9,41.62,119.4,2.7,5182.64,718.32,1071.76,3884.1,43956.56,6992.34,2.54,5.1,23.56,0.48,0.0,0.4583333333333333
29,165818465.0,0.5219719350073855,7792945115,75,6.178738424973719,12.18,21.44,42.24,236.02,4.0,4472.7,821.2,1202.8,3435.1,52489.18,2437.52,2.02,-4.74,18.66,0.56,0.0,0.5
30,230778993.0,0.5360432811814593,7792945115,80,7.329036275815687,9.42,15.02,30.52,263.3,19.3,3103.22,804.4,1020.38,3558.5,33235.2,1071.7,3.88,3.5800000000000005,27.94,0.6,0.02,0.5909090909090909
31,1097107594.0,0.5420408163265306,7792945115,71,17.578405483405483,26.54,9.46,21.8,540.88,22.24,5560.6,1302.32,1592.98,15973.0,67212.14,527.34,1.22,19.0,0.32,0.72,0.04,0.631578947368421
32,369111743.0,0.537375745526839,7792945115,80,7.81562196137196,17.56,16.1,28.74,404.76,24.42,3593.34,1008.56,1320.7,6312.94,52217.8,1687.92,2.28,5.86,5.28,0.48,0.0,0.5
33,141779334.0,0.5079081839565253,7792942701,80,9.95616117216117,12.26,12.66,31.82,334.7,9.28,4101.02,964.28,1196.62,5348.18,53745.8,4979.26,0.98,-2.48,8.58,0.58,0.0,0.5806451612903226
