match_id,player_slot,account_id,assists,camps_stacked,damage_taken,deaths,denies,gold_perm_min,hero_damage,hero_healing,hero_id,kills,team_slot,last_hits,leaver_status,rune_pickups,obs_placed,sen_placed,tower_damaged,xp_per_min,isRadiant,total_gold,kda,rank_tier,matchId,position
7794511718,4,112728668.0,2,,,7,11,,14697,0,59,4,4,232,0,,,,,619,1,15638,0.75,80.0,7794511718,5
7794511718,128,1135861604.0,9,,,3,13,,41254,0,76,14,0,269,0,,,,,1093,0,28334,5.75,80.0,7794511718,1
7794511718,129,234275171.0,19,,,7,1,,8937,0,73,0,1,154,0,,,,,506,0,16829,2.38,74.0,7794511718,2
7794511718,130,174277970.0,19,,,3,2,,19359,0,86,2,2,106,0,,,,,658,0,17276,5.25,80.0,7794511718,3
7794511718,131,140925029.0,17,,,3,3,,21875,7532,55,5,3,293,0,,,,,870,0,25244,5.5,80.0,7794511718,4
7794511718,132,371411128.0,10,,,5,15,,23158,0,93,11,4,307,0,,,,,878,0,24946,3.5,80.0,7794511718,5
7794516003,0,,19,,,5,4,,15864,442,114,5,0,101,0,,,,,665,1,14841,4.0,,7794516003,1
7794516003,1,180837990.0,25,,,5,12,,18824,0,71,4,1,268,0,,,,,870,1,22872,4.83,65.0,7794516003,2
7794516003,2,851539738.0,20,,,3,3,,53341,0,13,20,2,318,0,,,,,1155,1,27855,10.0,75.0,7794516003,3
7794516003,3,465577136.0,43,,,1,5,,15523,2016,121,8,3,11,0,,,,,728,1,14089,25.5,72.0,7794516003,4
7794516003,4,165945304.0,22,,,6,8,,51339,0,44,24,4,241,0,,,,,890,1,26708,6.57,72.0,7794516003,5
7794516003,128,1254585085.0,12,,,10,11,,27122,0,14,8,0,84,1,,,,,551,0,14232,1.82,74.0,7794516003,1
7794516003,129,135126521.0,10,,,19,8,,12393,125,27,2,1,97,0,,,,,406,0,12224,0.6,72.0,7794516003,2
7794516003,130,316248670.0,4,,,12,3,,13738,0,11,2,2,172,1,,,,,354,0,12404,0.46,73.0,7794516003,3
7794516003,131,328328984.0,4,,,8,6,,13381,0,10,5,3,203,0,,,,,603,0,16132,1.0,65.0,7794516003,4
7794522803,0,173397049.0,12,,,7,0,,9915,0,14,3,0,19,0,,,,,357,1,7691,1.88,80.0,7794522803,1
7794522803,1,299587811.0,10,,,2,20,,16301,2305,92,13,1,183,0,,,,,664,1,17123,7.67,80.0,7794522803,2
7794522803,2,192176314.0,14,,,1,16,,13787,0,19,3,2,215,0,,,,,670,1,16577,8.5,80.0,7794522803,3
7794522803,3,1226741231.0,18,,,6,0,,19845,2879,110,7,3,72,0,,,,,625,1,12420,3.57,80.0,7794522803,4
7794522803,4,411511662.0,8,,,5,5,,15527,0,106,7,4,127,0,,,,,608,1,13823,2.5,80.0,7794522803,5
7794522803,128,,2,,,6,7,,8000,0,56,4,0,168,0,,,,,523,0,11536,0.86,,7794522803,1
7794522803,129,131875099.0,4,,,6,6,,14679,533,104,3,1,146,0,,,,,439,0,10783,1.0,80.0,7794522803,2
7794522803,130,462523551.0,9,,,7,1,,11936,0,88,6,2,49,0,,,,,462,0,9146,1.88,80.0,7794522803,3
7794522803,132,359552016.0,7,,,9,6,,14842,0,30,1,4,73,0,,,,,370,0,8912,0.8,80.0,7794522803,5
7794525309,0,110017694.0,6,,,12,1,,11827,0,22,2,0,22,0,,,,,199,1,5464,0.62,74.0,7794525309,1
7794525309,1,193738170.0,3,,,7,12,,9307,0,17,4,1,75,0,,,,,461,1,8486,0.88,63.0,7794525309,2
7794525309,2,130106872.0,2,,,7,6,,9046,0,23,4,2,101,0,,,,,437,1,9267,0.75,63.0,7794525309,3
7794525309,3,87520009.0,5,,,9,0,,3823,0,5,0,3,9,0,,,,,223,1,4306,0.5,71.0,7794525309,4
7794525309,4,,4,,,3,7,,7823,75,8,1,4,194,0,,,,,530,1,10904,1.25,,7794525309,5
7794525309,128,76392648.0,9,,,1,18,,15164,0,11,6,0,187,0,,,,,642,0,15311,7.5,71.0,7794525309,1
7794525309,129,101540152.0,6,,,3,9,,13546,0,2,11,1,130,0,,,,,500,0,14858,4.25,71.0,7794525309,2
7794525309,130,129655153.0,15,,,0,4,,11431,192,123,8,2,30,0,,,,,470,0,10325,23.0,72.0,7794525309,3
7794525309,131,147108899.0,18,,,7,4,,10461,0,87,5,3,17,0,,,,,384,0,9091,2.88,64.0,7794525309,4
7794525309,132,145504993.0,10,,,0,12,,12152,910,54,8,4,172,0,,,,,564,0,16369,18.0,72.0,7794525309,5
7794509006,0,1121880585.0,19,,,4,17,,39503,7496,104,10,0,284,0,,,,,909,1,30315,5.8,72.0,7794509006,1
7794509006,1,,17,,,13,5,,13564,0,100,5,1,59,0,,,,,554,1,16013,1.57,,7794509006,2
7794509006,2,990132990.0,13,,,5,5,,28682,0,12,3,2,463,0,,,,,850,1,31123,2.67,71.0,7794509006,3
7794509006,3,852007446.0,13,,,4,31,,37484,0,11,10,3,511,0,,,,,1222,1,37870,4.6,71.0,7794509006,4
7794509006,4,1313082958.0,14,,,11,1,,16203,195,26,9,4,41,0,,,,,791,1,17723,1.92,65.0,7794509006,5
7794509006,128,1024454039.0,22,,,5,7,,22351,0,129,4,0,269,0,,,,,741,0,23948,4.33,71.0,7794509006,1
7794509006,130,942472646.0,17,,,11,7,,36591,1123,110,10,2,237,0,,,,,667,0,22712,2.25,72.0,7794509006,3
7794509006,131,1140427424.0,19,,,10,0,,17626,177,5,6,3,95,0,,,,,570,0,16108,2.27,65.0,7794509006,4
7794509006,132,300712427.0,12,,,7,4,,37959,0,48,7,4,610,1,,,,,858,0,32834,2.38,71.0,7794509006,5
7794510209,0,282712720.0,13,,,5,33,,55656,5343,54,18,0,434,0,,,,,1054,1,37858,5.17,72.0,7794510209,1
